variable,iv
gasto_fin_ventas_6m,0.00013427243400877456
flag_tarjeta_virt,0.0
flag_codpro_finanimp,0.0
inversionespromedio,0.0
flag_pasivo,0.0
rat_sven_stot_6m,0.0
saldo_vencido_6m,0.0
flag_codpro_finanexp,0.0
flag_invpromedio,0.0
rat_svencido_stotal,0.0
flag_diasatraso,0.0
indiemppromoflag,0.0
indiempvincuflag,0.0
flag_codrpo_cuencorr,0.0
flag_codpro_docdes,0.0
rat_sven_stot_12m,0.0
saldo_vencido_12m,0.0
flag_codpro_intauto,0.0
flag_codpro_intcasa,0.0
flag_codpro_intconsu,0.0
dias_atraso,0.0
flag_vencido,0.0
flag_exceso,0.0
grupo_economico_cat,0.0
max_meses_atraso_int,0.0
tot_atrasado_int,0.0
max_meses_atraso_cap,0.0
tot_atrasado_cap,0.0
otros_pasivos,0.0
tipo_vincu_enti_cat,0.0
indi_nominas_domici,0.0
flag_sitcont_incump,0.0
flag_sitcont_default,0.0
flag_sitcont_cance,0.0
salvenintereses,0.0
importe_de_nomina,0.0
indiclieconnomi,0.0
salinvpromediode,0.0
salpasdebeprom,0.0
salpasdebefinmes,0.0
saldo_vencido,0.0
sactihabefinmes,0.0
num_recibos_domici,0.0
pais_cat,0.0
numgruposecono,0.0
flag_sitcont_normal,0.0
tipcarepergra_flag,0.0
