variable,var_type,bin,count,bads,goods,dist_bad,dist_good,woe,iv_component,iv_total
siniincicap_v_12m,num,bin_1,743,139,604,0.15043290043290045,0.0363855421686747,1.4193456378988274,0.1618726204662136,0.1762385217600332
siniincicap_v_12m,num,bin_3,16781,785,15996,0.8495670995670995,0.9636144578313253,-0.12596434948135005,0.014365901293819667,0.1762385217600332
saldo_activo_6med,num,bin_1,2156,35,2121,0.03787878787878788,0.1277710843373494,-1.2158489903723182,0.10929545789139115,0.1181128615979392
saldo_activo_6med,num,bin_2,15368,889,14479,0.9621212121212122,0.8722289156626506,0.09808853543543349,0.008817403706548108,0.1181128615979392
saldo_activo_12med,num,bin_1,4313,92,4221,0.09956709956709957,0.25427710843373497,-0.9375928660305081,0.14505500061687399,0.1742211753102023
saldo_activo_12med,num,bin_3,13211,832,12379,0.9004329004329005,0.745722891566265,0.1885215759923488,0.02916617469332837,0.1742211753102023
saldo_pasivo_6med,num,bin_1,1999,303,1696,0.32792207792207795,0.10216867469879518,1.1661508918604713,0.2632625325093678,0.3286425077756677
saldo_pasivo_6med,num,bin_2,15525,621,14904,0.672077922077922,0.8978313253012048,-0.2896079276449952,0.06537997526629989,0.3286425077756677
saldo_pasivo_12med,num,bin_1,2006,267,1739,0.288961038961039,0.10475903614457831,1.014629046748917,0.1868967025269068,0.2876672998750955
saldo_pasivo_12med,num,bin_2,2006,149,1857,0.16125541125541126,0.11186746987951807,0.36567464729570387,0.018059918043290643,0.2876672998750955
saldo_pasivo_12med,num,bin_3,13512,508,13004,0.5497835497835498,0.7833734939759036,-0.3540849311423635,0.08271067930489813,0.2876672998750955
saldo_neto_6med,num,bin_1,1999,27,1972,0.02922077922077922,0.11879518072289157,-1.4025207664553012,0.1256299582495175,0.1669237952011535
saldo_neto_6med,num,bin_2,5995,271,5724,0.29329004329004327,0.34481927710843374,-0.16185841709369028,0.008340440219895336,0.1669237952011535
saldo_neto_6med,num,bin_5,9530,626,8904,0.6774891774891775,0.5363855421686747,0.23354038084766818,0.03295339673174069,0.1669237952011535
saldo_neto_12med,num,bin_1,2006,25,1981,0.027056277056277056,0.11933734939759036,-1.4840353191273998,0.13694837064145957,0.1778345347972547
saldo_neto_12med,num,bin_2,6016,274,5742,0.29653679653679654,0.3459036144578313,-0.15398885158998848,0.007601939598312205,0.1778345347972547
saldo_neto_12med,num,bin_5,9502,625,8877,0.6764069264069265,0.5347590361445783,0.23497861137103263,0.03328422455748298,0.1778345347972547
patrimonio_neto_6med,num,bin_1,1687,79,1608,0.0854978354978355,0.09686746987951807,-0.12485269456893969,0.0014195294888167285,0.0015617695906058
patrimonio_neto_6med,num,bin_2,15837,845,14992,0.9145021645021645,0.9031325301204819,0.012510525581920956,0.00014224010178912812,0.0015617695906058
pat_neto_12med,num,bin_1,1767,84,1683,0.09090909090909091,0.1013855421686747,-0.1090704926445419,0.0011426717000493347,0.0012641043868409
pat_neto_12med,num,bin_2,15757,840,14917,0.9090909090909091,0.8986144578313253,0.011591013386379195,0.00012143268679158432,0.0012641043868409
utilidad_neta_6med,num,bin_1,6064,387,5677,0.41883116883116883,0.3419879518072289,0.202692392562006,0.015575535510743853,0.0251180752483185
utilidad_neta_6med,num,bin_7,11460,537,10923,0.5811688311688312,0.658012048192771,-0.12418193963172787,0.009542539737574657,0.0251180752483185
utilidad_neta_12med,num,bin_1,6315,410,5905,0.44372294372294374,0.3557228915662651,0.22104833376984126,0.019452264900892944,0.0366110424511136
utilidad_neta_12med,num,bin_7,2103,113,1990,0.12229437229437229,0.11987951807228915,0.01994380369675297,4.81613785615012e-05,0.0366110424511136
utilidad_neta_12med,num,bin_9,9106,401,8705,0.43398268398268397,0.5243975903614457,-0.18924552219276974,0.017110616171659158,0.0366110424511136
rat_tpas_ventas_6md,num,bin_1,1581,223,1358,0.24134199134199133,0.08180722891566265,1.0818493660444277,0.17259258159297208,0.2661773930103618
rat_tpas_ventas_6md,num,bin_2,1581,133,1448,0.14393939393939395,0.0872289156626506,0.5008564579790425,0.02840380927998711,0.2661773930103618
rat_tpas_ventas_6md,num,bin_3,14362,568,13794,0.6147186147186147,0.8309638554216867,-0.3014216725671348,0.06518100213740263,0.2661773930103618
rat_tpas_ventas_12md,num,bin_1,1657,207,1450,0.22402597402597402,0.08734939759036145,0.9418458605536993,0.12872826775053298,0.2652494811428269
rat_tpas_ventas_12md,num,bin_2,1657,157,1500,0.1699134199134199,0.09036144578313253,0.631471320960957,0.05023479018910445,0.2652494811428269
rat_tpas_ventas_12md,num,bin_3,4969,240,4729,0.2597402597402597,0.2848795180722892,-0.09238421659893413,0.002322470686882769,0.2652494811428269
rat_tpas_ventas_12md,num,bin_6,9241,320,8921,0.3463203463203463,0.5374096385542169,-0.4393964284170608,0.08396395251630671,0.2652494811428269
rat_salnet_ven_6med,num,bin_1,1581,18,1563,0.01948051948051948,0.09415662650602409,-1.5755446698223614,0.11765554238711799,0.1495964756666829
rat_salnet_ven_6med,num,bin_2,4743,207,4536,0.22402597402597402,0.27325301204819274,-0.19863614943926838,0.009778269281033985,0.1495964756666829
rat_salnet_ven_6med,num,bin_5,11200,699,10501,0.7564935064935064,0.6325903614457832,0.17887087523076714,0.02216266399853095,0.1495964756666829
rat_salnet_ven_12med,num,bin_1,1657,16,1641,0.017316017316017316,0.09885542168674699,-1.7420264661473592,0.14204380044770276,0.1491068966980319
rat_salnet_ven_12med,num,bin_2,15867,908,14959,0.9826839826839827,0.901144578313253,0.08662187692978293,0.007063096250329153,0.1491068966980319
rat_tpas_sact_6med,num,bin_1,1994,318,1676,0.34415584415584416,0.10096385542168675,1.2263320044410988,0.2982341190083764,0.497339812101311
rat_tpas_sact_6med,num,bin_2,1993,169,1824,0.1829004329004329,0.10987951807228916,0.5095574469917471,0.03720835093683073,0.497339812101311
rat_tpas_sact_6med,num,bin_3,13537,437,13100,0.47294372294372294,0.7891566265060241,-0.5119884113907023,0.16189734215610393,0.497339812101311
rat_tpas_sact_12med,num,bin_1,2002,282,1720,0.3051948051948052,0.10361445783132531,1.080273403833565,0.2177618879922988,0.4526724790352138
rat_tpas_sact_12med,num,bin_2,2002,164,1838,0.1774891774891775,0.11072289156626507,0.4718790276115165,0.0315056100785364,0.4526724790352138
rat_tpas_sact_12med,num,bin_3,4004,225,3779,0.2435064935064935,0.22765060240963855,0.06733160155788158,0.0010676025416785995,0.4526724790352138
rat_tpas_sact_12med,num,bin_5,9516,253,9263,0.27380952380952384,0.5580120481927711,-0.7119478578235567,0.2023373784227,0.4526724790352138
rat_ventas_lim_6med,num,bin_1,10106,598,9508,0.6471861471861472,0.5727710843373494,0.12214782817349774,0.009089638310374994,0.0233311471335443
rat_ventas_lim_6med,num,bin_7,7418,326,7092,0.3528138528138528,0.4272289156626506,-0.1913793831244404,0.014241508823169382,0.0233311471335443
rat_ventas_lim_12med,num,bin_1,10601,637,9964,0.6893939393939394,0.6002409638554217,0.1384816818930428,0.012346053998343242,0.0348426067387942
rat_ventas_lim_12med,num,bin_7,6923,287,6636,0.3106060606060606,0.3997590361445783,-0.25233653284776353,0.02249655274045103,0.0348426067387942
